,unemployment_rate,fed_rate,indpro,gs10,usrec,sp500_close,inflation_yoy,sp500_log_return,log_indpro
2001-04-01,4.4,4.8,90.7891,5.14,1.0,1249.4599609375,3.2182562902282053,7.400701716559068,4.50853923434852
2001-05-01,4.3,4.21,90.3555,5.39,1.0,1255.8199462890625,3.5630841121495394,0.5077276192499077,4.503751889562889
2001-06-01,4.5,3.97,89.8784,5.28,1.0,1224.3800048828125,3.193960511033689,-2.5354105491820706,4.498457645645551
2001-07-01,4.6,3.77,89.3028,5.24,1.0,1211.22998046875,2.7214823393167498,-1.0798241319025235,4.4920328423740985
2001-08-01,4.9,3.65,89.2003,4.97,1.0,1133.5799560546875,2.7214823393167498,-6.625562852916861,4.490884402809008
2001-09-01,5.0,3.07,88.7485,4.73,1.0,1040.93994140625,2.5921658986175045,-8.525663276941998,4.485806526804244
2001-10-01,5.3,2.49,88.5052,4.57,1.0,1059.780029296875,2.127659574468077,1.793727226268294,4.483061307349902
2001-11-01,5.5,2.09,87.97,4.65,1.0,1139.449951171875,1.894374282433997,7.248427993671071,4.476995847264583
2001-12-01,5.7,1.82,87.9324,5.09,0.0,1148.0799560546875,1.603665521191311,0.7545296609037893,4.4765683374571825
2002-01-01,5.7,1.73,88.5176,5.04,0.0,1130.199951171875,1.1958997722095743,-1.5696378592795637,4.483201402298353
2002-02-01,5.7,1.74,88.5278,4.91,0.0,1106.72998046875,1.1363636363636465,-2.0984861119793337,4.483316626980963
2002-03-01,5.7,1.73,89.1686,5.28,0.0,1147.3900146484375,1.3628620102214661,3.6080106667215,4.490528959675886
2002-04-01,5.9,1.75,89.604,5.21,0.0,1076.9200439453125,1.643990929705219,-6.33846547446828,4.4953999618415645
2002-05-01,5.8,1.75,89.964,5.16,0.0,1067.1400146484375,1.2408347433727984,-0.9122969376784574,4.499409590308925
2002-06-01,5.8,1.75,90.7061,4.93,0.0,989.8200073242188,1.0692177827799743,-7.521434960317877,4.507624609545373
2002-07-01,5.8,1.73,90.6769,4.65,0.0,911.6199951171875,1.465614430665152,-8.229988459363803,4.507302638905873
2002-08-01,5.7,1.74,90.5762,4.26,0.0,916.0700073242188,1.747463359639223,0.4869557741769553,4.50619148538231
2002-09-01,5.7,1.75,90.6531,3.87,0.0,815.280029296875,1.516002245929271,-11.656114050838795,4.507040134078909
2002-10-01,5.7,1.75,90.4643,3.94,0.0,885.760009765625,2.0270270270270174,8.291439611915427,4.504955297741974
2002-11-01,5.9,1.34,90.9711,4.05,0.0,936.3099975585938,2.2535211267605604,5.550057104349944,4.510541873659292
2002-12-01,6.0,1.24,90.4652,4.03,0.0,879.8200073242188,2.4802705749718212,-6.222926619772059,4.504965246368373
2003-01-01,5.8,1.24,91.2361,4.05,0.0,855.7000122070312,2.757456387169399,-2.77974877305516,4.513450652092272
2003-02-01,5.9,1.26,91.3445,3.9,0.0,841.1500244140625,3.146067415730336,-1.714982949976613,4.514638073020199
2003-03-01,5.9,1.25,91.1044,3.81,0.0,848.1799926757812,3.025210084033625,0.8322836592988462,4.512006101672571
2003-04-01,6.0,1.26,90.5617,3.96,0.0,916.9199829101562,2.175125488008911,7.7927340026379035,4.506031386363485
2003-05-01,6.1,1.26,90.537,3.57,0.0,963.5900268554688,1.8941504178273005,4.964571199782594,4.505758606932676
2003-06-01,6.3,1.22,90.6527,3.33,0.0,974.5,1.948775055679297,1.1258598140629075,4.507035721644227
2003-07-01,6.2,1.01,91.1185,3.98,0.0,990.3099975585938,2.055555555555544,1.6093504013478805,4.512160857194826
2003-08-01,6.1,1.03,90.9197,4.45,0.0,1008.010009765625,2.216066481994461,1.7715355943955013,4.509976699374851
2003-09-01,6.1,1.01,91.5059,4.27,0.0,995.969970703125,2.378318584070782,-1.2016271671429113,4.51640345107699
2003-10-01,6.0,1.01,91.6186,4.29,0.0,1050.7099609375,2.041942604856528,5.350426070312328,4.517634307835408
2003-11-01,5.8,1.0,92.2329,4.3,0.0,1058.199951171875,1.9283746556473913,0.7103216390662538,4.524316899884605
2003-12-01,5.7,0.98,92.2602,4.27,0.0,1111.9200439453125,2.0352035203520247,4.951898497110497,4.524612845914015
2004-01-01,5.7,1.0,92.4006,4.15,0.0,1131.1300048828125,2.026286966046009,1.7128847057714995,4.526133472133049
2004-02-01,5.6,1.01,92.958,4.08,0.0,1144.93994140625,1.688453159041381,1.213504533610582,4.5321477782422095
2004-03-01,5.8,1.0,92.5861,3.83,0.0,1126.2099609375,1.7400761283306032,-1.6494204178642544,4.528139022393441
2004-04-01,5.6,1.0,92.93,4.35,0.0,1107.300048828125,2.2925764192139875,-1.6933314713063943,4.531846521569248
2004-05-01,5.6,1.0,93.6013,4.72,0.0,1120.6800537109375,2.8977583378895444,1.2011028036095872,4.539044272275985
2004-06-01,5.6,1.03,92.871,4.73,0.0,1140.8399658203125,3.1676679410158393,1.7829111362111554,4.531211433469797
2004-07-01,5.5,1.26,93.5649,4.5,0.0,1101.719970703125,2.939575394665228,-3.489223484716681,4.5386553131534635
2004-08-01,5.4,1.43,93.6277,4.28,0.0,1104.239990234375,2.5474254742547275,0.22847383199045748,4.5393262798728315
2004-09-01,5.4,1.61,93.7467,4.13,0.0,1114.5799560546875,2.5391680172879516,0.9320306218269943,4.540596464230986
2004-10-01,5.5,1.76,94.5465,4.1,0.0,1130.199951171875,3.1909140075716547,1.3916952102817837,4.549091776968219
2004-11-01,5.4,1.93,94.7813,4.19,0.0,1173.8199462890625,3.621621621621607,3.7868776906828336,4.5515721324192135
2004-12-01,5.4,2.16,95.5365,4.23,0.0,1211.9200439453125,3.3423180592991875,3.194257321148287,4.559508373420149
2005-01-01,5.3,2.28,95.8801,4.22,0.0,1181.27001953125,2.8448738593666034,-2.5615767695305847,4.563098452536019
2005-02-01,5.4,2.5,96.5761,4.17,0.0,1203.5999755859375,3.0530262453133394,1.8726898056026693,4.5703312985987905
2005-03-01,5.2,2.63,96.4456,4.5,0.0,1180.5899658203125,3.2068412613575736,-1.9302760921690574,4.568979118819173
2005-04-01,5.2,2.79,96.6532,4.34,0.0,1156.8499755859375,3.3617929562433257,-2.0313511500222594,4.571129314262995
2005-05-01,5.1,3.0,96.7402,4.14,0.0,1191.5,2.869287991498415,2.9512244489019595,4.572029034789847
2005-06-01,5.0,3.04,97.1753,4.0,0.0,1191.3299560546875,2.541026998411855,-0.014272436450534956,4.576516563947311
2005-07-01,5.0,3.26,96.8676,4.18,0.0,1234.1800537109375,3.067160232681121,3.5336532271868712,4.573345097659094
2005-08-01,4.9,3.5,97.1833,4.26,0.0,1220.3299560546875,3.6469344608879517,-1.1285547502899256,4.576598886005656
2005-09-01,5.0,3.62,95.3005,4.2,0.0,1228.81005859375,4.741833508956805,0.6924991121193389,4.55703505723611
2005-10-01,5.0,3.78,96.4572,4.46,0.0,1207.010009765625,4.350104821802936,-1.7900033906343304,4.5690993866433205
2005-11-01,5.0,4.0,97.5414,4.54,0.0,1249.47998046875,3.3385498174230532,3.45812139547286,4.580276903264815
2005-12-01,4.9,4.16,98.0452,4.47,0.0,1248.2900390625,3.3385498174230532,-0.09528030899304152,4.585428596829047
2006-01-01,4.7,4.29,98.1999,4.42,0.0,1280.0799560546875,4.018789144050117,2.5147895607579915,4.587005197029963
2006-02-01,4.8,4.49,98.2413,4.57,0.0,1280.6600341796875,3.63825363825363,0.0453055083401205,4.587426697210301
2006-03-01,4.7,4.59,98.4628,4.72,0.0,1294.8699951171875,3.4179181771103018,1.1034703509449961,4.589678811870047
2006-04-01,4.7,4.79,98.7618,4.99,0.0,1310.6099853515625,3.613835828600931,1.2082366269225648,4.592710890313318
2006-05-01,4.6,4.94,98.7869,5.11,0.0,1270.0899658203125,3.9772727272727293,-3.14049293203158,4.592965004869729
2006-06-01,4.6,4.99,99.0997,5.11,0.0,1270.199951171875,4.1817243159525175,0.008659275533511337,4.596126414086154
2006-07-01,4.7,5.24,99.0489,5.09,0.0,1276.6600341796875,4.104669061056954,0.507298940598844,4.595613667580622
2006-08-01,4.7,5.25,99.4836,4.88,0.0,1303.8199462890625,3.926568077511483,2.1051056620195077,4.599992806458956
2006-09-01,4.5,5.25,99.3183,4.72,0.0,1335.8499755859375,2.012072434607637,2.4269399114309693,4.598329844102016
2006-10-01,4.4,5.25,99.2044,4.73,0.0,1377.93994140625,1.4063284781516971,3.1021812670560824,4.59718236814589
2006-11-01,4.5,5.25,99.1627,4.6,0.0,1400.6300048828125,1.9687026754164672,1.6332551131230073,4.596761935517553
2006-12-01,4.4,5.24,100.1735,4.56,0.0,1418.300048828125,2.5239777889954462,1.2536866857911233,4.606903682614242
2007-01-01,4.6,5.25,99.8346,4.76,0.0,1438.239990234375,2.075765178123423,1.3961131307325756,4.603514816619926
2007-02-01,4.5,5.26,100.7753,4.72,0.0,1406.8199462890625,2.420260782347028,-2.208833705337683,4.6128932859276
2007-03-01,4.4,5.26,100.9547,4.56,0.0,1420.8599853515625,2.798197295943927,0.9930511784698803,4.614671901376903
2007-04-01,4.5,5.25,101.6334,4.69,0.0,1482.3699951171875,2.5929247633283525,4.237984325323969,4.621372221278656
2007-05-01,4.4,5.25,101.7306,4.75,0.0,1530.6199951171875,2.709885742672613,3.203072385189615,4.622328142753466
2007-06-01,4.6,5.25,101.7893,5.1,0.0,1503.3499755859375,2.692765113974227,-1.7976943869676052,4.622904990537174
2007-07-01,4.7,5.26,101.6672,5.0,0.0,1455.27001953125,2.3178905864958077,-3.250447118036484,4.6217047338271815
2007-08-01,4.6,5.02,101.863,4.67,0.0,1473.989990234375,1.897448478900876,1.2781539018930577,4.6236287732120305
2007-09-01,4.7,4.94,102.0894,4.52,0.0,1526.75,2.8338264299802685,3.516829026279035,4.625848899996448
2007-10-01,4.7,4.76,101.8015,4.53,0.0,1549.3800048828125,3.610698365527476,1.4713560940170525,4.623024838781934
2007-11-01,4.7,4.49,102.3446,4.15,0.0,1481.1400146484375,4.373267326732666,-4.504278263090341,4.628345550578648
2007-12-01,5.0,4.24,102.3803,4.1,0.0,1468.3599853515625,4.108813392417532,-0.8665949670829879,4.628694311284961
2008-01-01,5.0,3.94,102.2448,3.74,1.0,1378.550048828125,4.294695655165981,-6.311386420630851,4.6273699378839925
2008-02-01,4.9,2.98,101.8438,3.74,1.0,1330.6300048828125,4.142959270611968,-3.537973959244805,4.623440266985858
2008-03-01,5.1,2.61,101.5336,3.51,1.0,1322.699951171875,3.9749035501344343,-0.5977452826418692,4.620389778184776
2008-04-01,5.0,2.28,100.8785,3.68,1.0,1385.5899658203125,3.9037609759888126,4.645095190758541,4.61391682239465
2008-05-01,5.4,1.98,100.2674,3.88,1.0,1400.3800048828125,4.088413823123993,1.0617614807393634,4.607840617210616
2008-06-01,5.6,2.0,100.0335,4.1,1.0,1280.0,4.935966105947864,-8.988355391782212,4.60550512988812
2008-07-01,5.8,2.01,99.676,4.01,1.0,1267.3800048828125,5.497512078341837,-0.9908296633774069,4.601924925823062
